,category,titular,traduccion
0,business,"quarterly profits at us media giant timewarner jumped 76% to $1.13bn for the three months to december, from $639m year-earlier","['beneficios trimestrales en nosotros medios gigante timewarner subió 76% a $ 1.130 millones para los tres meses a diciembre, de $ 639 millones de años antes']"
1,business,the dollar has hit its highest level against the euro in almost three months after the federal reserve head said the us trade deficit is set to stabilise,['el dólar ha alcanzado su nivel más alto frente al euro en casi tres meses después de que el jefe de la reserva federal dijo que el déficit comercial de nosotros está destinado a estabilizarse']
2,business,the owners of embattled russian oil giant yukos are to ask the buyer of its former production unit to pay back a $900m loan,['los propietarios de yukos gigantes rusos del petróleo asediados van a pedir al comprador de su antigua unidad de producción que pague un préstamo de 900 millones de dólares']
3,business,british airways has blamed high fuel prices for a 40% drop in profits,['Las vías aéreas británicas han culpado a los altos precios del combustible de una caída del 40% en los beneficios']
4,business,shares in uk drinks and food firm allied domecq have risen on speculation that it could be the target of a takeover by france pernod ricard,['las acciones en las bebidas y la empresa alimentaria aliada domocq han aumentado de la especulación de que podría ser el objetivo de una toma de posesión por france pernod ricard']
5,business,"japan economy teetered on the brink of a technical recession in the three months to september, figures show","['economía japonesa tambaleó al borde de una recesión técnica en los tres meses hasta septiembre, cifras muestran']"
6,business,"the us created fewer jobs than expected in january, but a fall in jobseekers pushed the unemployment rate to its lowest level in three years","['la creación de menos puestos de trabajo de lo esperado en enero, pero una caída de los solicitantes de empleo llevó a la tasa de desempleo a su nivel más bajo en tres años']"
7,business,"india, which attends the g7 meeting of seven leading industrialised nations on friday, is unlikely to be cowed by its newcomer status","['India, que asiste a la reunión g7 de siete principales naciones industrializadas el viernes, es poco probable que se vea acobardada por su estatus de recién llegada']"
8,business,"ethiopia produced 14.27 million tonnes of crops in 2004, 24% higher than in 2003 and 21% more than the average of the past five years, a report says","['etiopia produjo 14,27 millones de toneladas de cultivos en 2004, un 24% más que en 2003 y un 21% más que el promedio de los últimos cinco años, según un informe']"
9,business,a us government claim accusing the country biggest tobacco companies of covering up the effects of smoking has been thrown out by an appeal court,['a demanda del gobierno de nosotros acusando a las compañías tabacaleras más grandes del país de encubrir los efectos de fumar ha sido rechazado por un tribunal de apelación']
10,business,ask jeeves has become the third leading online search firm this week to thank a revival in internet advertising for improving fortunes,['pedir Jeeves se ha convertido en la tercera firma líder de búsqueda en línea esta semana para agradecer un renacimiento en la publicidad de Internet para mejorar fortunas']
11,business,indonesia government has confirmed it is considering raising fuel prices by as much as 30%,['gobierno indonesia ha confirmado que está considerando subir los precios del combustible hasta un 30%']
12,business,"struggling japanese car maker mitsubishi motors has struck a deal to supply french car maker peugeot with 30,000 sports utility vehicles",['lucha japonés fabricante de coches mitsubishi motores ha llegado a un acuerdo para abastecer a peugeot fabricante francés de coches con 30.000 vehículos utilitarios deportivos']
13,business,the daily and sunday telegraph newspapers are axing 90 journalist jobs - 17% of their editorial staff,['los diarios y los periódicos telégrafos del domingo están extendiendo 90 puestos de periodista - 17% de su personal editorial']
14,business,"air passengers who are unable to board their flights because of overbooking, cancellations or flight delays can now demand greater compensation","['Los pasajeros aéreos que no pueden embarcar en sus vuelos debido a sobrereservas, cancelaciones o retrasos en los vuelos pueden ahora exigir una mayor compensación']"
15,business,"china efforts to stop the economy from overheating by clamping down on credit will continue into 2005, state media report","['Los esfuerzos de China para detener el recalentamiento de la economía mediante la represión del crédito continuarán en 2005, informe de los medios de comunicación estatales']"
16,business,"parmalat, the italian food group at the centre of one of europe most painful corporate scandals, has reported a doubling in profit","['parmalat, el grupo italiano de alimentos en el centro de uno de los escándalos corporativos más dolorosos de Europa, ha reportado una duplicación en el beneficio']"
17,business,india rupee has hit a five-year high after standard & poor raised the country foreign currency rating,['la rupia india ha alcanzado un máximo de cinco años después de que el estándar y los pobres elevaran la calificación del país en moneda extranjera']
18,business,india has raised the limit for foreign direct investment in telecoms companies from 49% to 74%,['India ha elevado el límite de inversión extranjera directa en empresas de telecomunicaciones del 49% al 74%']
19,business,"customers trying to get through to call centres are getting impatient and quicker to hang up, a survey suggests","['clientes que tratan de llegar a los centros de llamadas se están impacientando y más rápido para colgar, una encuesta sugiere']"
20,business,"leisure group rank could unveil plans to demerge its film services unit and sell its media business, reports claim","['rango de grupo de ocio podría revelar planes para resurgir su unidad de servicios de cine y vender su negocio de medios, informes afirman']"
21,business,the number of people out of work in europe largest economy has risen for the tenth straight month as growth remains stubbornly slow,"['el número de personas sin trabajo en la economía más grande de Europa ha aumentado durante el décimo mes consecutivo, ya que el crecimiento sigue siendo obstinadamente lento']"
22,business,"the french economy picked up speed at the end of 2004, official figures show - but still looks set to have fallen short of the government hopes","['la economía francesa se aceleró a finales de 2004, las cifras oficiales muestran - pero todavía parece que se han quedado por debajo de las esperanzas del gobierno']"
23,business,"the gap between us exports and imports hit an all-time high of $671.7bn in 2004, latest figures show","['La brecha entre las exportaciones e importaciones alcanzó un máximo histórico de 671.700 millones de dólares en 2004, las últimas cifras muestran']"
24,business,a judge has dismissed an attempt by russian oil giant yukos to gain bankruptcy protection in the us,['un juez ha desestimado un intento del gigante petrolero ruso Yukos para obtener la protección de la bancarrota en el nosotros']
25,business,"the world biggest carmaker general motors is recalling nearly 200,000 vehicles in the us on safety grounds, according to federal regulators","['el mayor fabricante de automóviles del mundo motores generales está recordando cerca de 200.000 vehículos en el nosotros por motivos de seguridad, según los reguladores federales']"
26,business,"mittal steel, one of the world largest steel producers, could cut up to 45,000 jobs over the next five years, its chief executive has said","['Mittal Steel, uno de los mayores productores mundiales de acero, podría cortar hasta 45.000 puestos de trabajo en los próximos cinco años, ha dicho su jefe ejecutivo']"
27,business,crude oil prices surged back above the $47 a barrel mark on thursday after an energy market watchdog raised its forecasts for global demand,['Los precios del crudo volvieron a subir por encima de los 47 dólares por barril el jueves después de que un organismo de vigilancia del mercado de la energía elevara sus previsiones de demanda mundial']
28,business,venezuelan authorities have said they will seize land owned by a british company as part of president chavez agrarian reform programme,['autoridades venezolanas han dicho que confiscarán tierras propiedad de una empresa británica como parte del programa de reforma agraria del presidente Chavez']
29,business,"the soaring cost of oil has hit global economic growth, although world major economies should weather the storm of price rises, according to the oecd","['el creciente costo del petróleo ha afectado el crecimiento económico mundial, aunque las principales economías del mundo deberían soportar la tormenta de subidas de precios, según el OECD']"
30,business,"irish shares have risen to a record high, with investors persuaded to buy into the market by low inflation and strong growth forecasts","['Las acciones irlandesas han alcanzado un máximo récord, con inversores persuadidos para comprar en el mercado por la baja inflación y fuertes previsiones de crecimiento']"
31,business,"japan sumitomo mitsui financial has withdrawn its takeover offer for rival bank ufj holdings, enabling the latter to merge with mitsubishi tokyo","['Japón sumitomo mitsui financial ha retirado su oferta de adquisición de participaciones en bancos rivales ufj, lo que permite a este último fusionarse con mitsubishi tokyo']"
32,business,"half of the money put aside by the colombian government to help the country poor is benefiting people who do not need it, a study has found","['la mitad del dinero reservado por el gobierno colombiano para ayudar al país pobre está beneficiando a las personas que no lo necesitan, un estudio ha encontrado']"
33,business,"some 2,000 jobs at mg rover midlands plant may be cut if investment in the firm by a chinese car maker goes ahead, the financial times has reported","['alrededor de 2.000 puestos de trabajo en la planta central de Rover mg pueden ser cortados si la inversión en la empresa por un fabricante chino de automóviles sigue adelante, los tiempos financieros han informado']"
34,business,uk advertising giant wpp has posted larger-than-expected annual profits and predicted that it will outperform the market in 2005,['uk publicidad gigante wpp ha publicado mayores beneficios anuales de lo esperado y predijo que va a superar el mercado en 2005']
35,business,foreign firms have been given an extra year to meet tough new corporate governance regulations imposed by the us stock market watchdog,['empresas extranjeras han recibido un año más para cumplir con las nuevas regulaciones de gobierno corporativo impuestas por el fiscal de mercado de valores de los EE.UU.']
36,business,one of japan best-known businessmen was arrested on thursday on charges of falsifying shareholder information and selling shares based on the false data,['uno de los empresarios más conocidos de Japón fue arrestado el jueves acusado de falsificar la información de los accionistas y vender acciones sobre la base de datos falsos']
37,business,german telecoms firm deutsche telekom saw strong fourth quarter profits on the back of upbeat us mobile earnings and better-than-expected asset sales,['La firma alemana de telecomunicaciones Deutsche telekom vio fuertes beneficios del cuarto trimestre en la parte posterior de las ganancias móviles y ventas de activos mejores de lo esperado']
38,business,"italy illva saronno has agreed to buy 33% of changyu, the largest wine maker in china","['italy illva saronno ha aceptado comprar el 33% de changyu, el mayor productor de vino de China']"
39,business,uk sportswear firm umbro has posted a 222% rise in annual profit after sales of replica england football kits were boosted by the euro 2004 tournament,['uk sportswear firma umbro ha registrado un aumento del 222% en los beneficios anuales después de que las ventas de réplicas de kits de fútbol en Inglaterra fueron impulsados por el torneo euro 2004']
40,business,federal reserve chairman alan greenspan has warned that allowing huge us budget deficits to continue could have severe consequences,['El presidente de la reserva federal Alan Greenspan ha advertido que permitir que sigamos teniendo grandes déficits presupuestarios podría tener graves consecuencias']
41,business,shares in uk coal have fallen after the mining group reported losses had deepened to £51.6m in 2004 from £1.2m,"['las acciones del carbón del Reino Unido han disminuido después de que el grupo minero informó que las pérdidas se habían profundizado a 51,6 millones de libras esterlinas en 2004 de 1,2 millones de libras esterlinas']"
42,business,"women will be employed in saudi arabia foreign ministry for the first time this year, foreign minister prince saud al-faisal has been reported as saying","['las mujeres serán empleadas en el Ministerio de Relaciones Exteriores saudi arabia por primera vez este año, el ministro de Relaciones Exteriores príncipe saud al-faisal se ha informado como diciendo']"
43,business,the japanese economy has officially gone back into recession for the fourth time in a decade,['la economía japonesa ha vuelto oficialmente a la recesión por cuarta vez en una década']
44,business,us crude prices have soared to fresh four-month highs above $53 in the us as refinery problems propelled petrol prices to an all-time high,['los precios del crudo se han disparado a los cuatro meses de los máximos frescos por encima de $ 53 en el nosotros como problemas de refinería propulsados precios de la gasolina a un alto de todos los tiempos']
45,business,"japanese industrial output fell in october while unemployment rose, casting further doubt on the strength of the country economic recovery","['La producción industrial japonesa cayó en octubre, mientras que el desempleo aumentó, poniendo aún más en duda la fortaleza de la recuperación económica del país']"
